sentence=1	But	but	but	CC	O	(h<root> / --LEX--  :ARG2 (m<o>))	contrast-01	(o(s()))	0	ROOT	true
sentence=1	Finally,	finally,	Finally,	NNP	O	_	and	_	0	IGNORE	true
2	we	_	we	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_s	true
3	offer	_	offer	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	43	APP_s	true
4	further	_	further	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
5	discussion	_	discussion	NN	O	(d<root> / --LEX--)	discuss-01	()	6	APP_op1	true
6	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	3	APP_o	true
7	16	_	16	CD	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	_NUMBER_	(mod())	8	MOD_mod	true
8	recommendations	_	recommendation	NNS	O	(s<root> / --LEX--  :ARG1 (p<s>))	recommend-01	(s())	6	APP_op2	true
9	for	_	for	IN	O	_	and	_	0	IGNORE	true
10	future	_	future	JJ	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	12	MOD_mod	true
11	replication	_	replication	NN	O	(d<root> / --LEX--)	$LEMMA$	()	12	APP_s	true
12	work	_	work	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	8	APP_s	true
13	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
14	draw	_	draw	VBP	O	(b<root> / --LEX--  :ARG1 (i<o>)  :ARG2 (h<o2>)  :ARG0 (a<s>))	$LEMMA$-02	(o2(), s(), o())	12	MOD_s	true
15	on	_	on	IN	O	_	thing	_	0	IGNORE	true
16	our	_	our	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
17	narrative	_	narrative	NN	O	(d<root> / --LEX--)	$LEMMA$	()	18	APP_op1	true
18	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	14	APP_o	true
19	systematic	_	systematic	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	20	MOD_mod	true
20	reviews	_	review	NNS	O	(d<root> / --LEX--)	$LEMMA$-01	()	18	APP_op2	true
21	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	14	MOD_op1	true
22	on	_	on	IN	O	_	thing	_	0	IGNORE	true
23	our	_	our	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
24	experience	_	experience	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	21	APP_op2	true
25	of	_	of	IN	O	_	person	_	0	IGNORE	true
26	carrying	_	carry	VBG	O	(d<root> / --LEX--)	$LEMMA$-out-03	()	24	APP_s	true
27	out	_	out	RP	O	_	$LEMMA$	_	0	IGNORE	true
28	multisite	_	multisite	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	43	MOD_mod	true
29	(Morgan-Short	(morgan-short	(Morgan-Short	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	33	APP_op1	true
30	et	_	et	NN	O	_	$LEMMA$	_	0	IGNORE	true
31	al.,	_	al.,	NNP	O	_	publication-91	_	0	IGNORE	true
32	2018)_1	_name_	1	CD	O	(p<root> / --LEX--  :mod-of (s<mod>))	_NAME_	(mod())	33	MOD_mod	true
33	and	_	and	CC	O	(a<root> / --LEX--  :op2 (s<op2>)  :op1 (l<op1>)  :op3 (s2<op3>))	$LEMMA$	(op2(), op1(), op3())	14	APP_o2	true
34	single	_	single	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	35	MOD_s	true
35	site	_	site	NN	O	(d<root> / --LEX--)	$LEMMA$	()	33	APP_op2	true
36	(Faretta-Stutenberg	(faretta-stutenberg	(Faretta-Stutenberg	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	33	APP_op3	true
37	&_Morgan-Short,	_name_	Morgan-Short,	NNP	O	_	and	_	0	IGNORE	true
38	2011;	_	2011;	CD	O	_	hyperlink-91	_	0	IGNORE	true
39	Marsden,_Williams,_&_Liu,_2013;_McManus_&_Marsden,	_name_	Marsden,	NNP	O	_	publication-91	_	0	IGNORE	true
40	2017;	_	2017;	NN	O	_	quote-01	_	0	IGNORE	true
41	Morgan-Short,_Heil,_Botero-Moriaty,_&_Ebert,	_name_	ebert,	JJ	O	_	_NAME_	_	0	IGNORE	true
42	2012)	_	2012)	CD	O	_	and	_	0	IGNORE	true
43	replications	_	replication	NNS	O	(s<root> / --LEX--  :ARG1 (p<s>))	_NAME_	(s())	0	ROOT	true
44	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[32@@p@@_NAME_, 26@@d@@carry-out-03, 19@@p@@systematic, 3@@s@@offer-01, 17@@d@@narrative, 2@@d@@we, 28@@p@@multisite, 43@@s@@_NAME_, 21@@a@@and, 6@@a@@and, 5@@d@@discuss-01, 20@@d@@review-01, 18@@a@@and, 24@@s@@experience-01, 36@@n@@_NAME_, 10@@n@@future, 36@@p@@person, 4@@p@@further, 34@@s@@single-02, 12@@s@@work-01, 35@@d@@site, 8@@s@@recommend-01, 29@@p@@person, 14@@b@@draw-02, 29@@n@@_NAME_, 11@@d@@replication, 33@@a@@and, 7@@explicitanon0@@_NUMBER_]
sentence=1	And	and	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	0	ROOT	true
2	so,	_	so,	NNP	O	(s<root> / --LEX--  :ARG1 (p<s>))	expressive	(s())	1	APP_op2	true
3	uh	_	uh	UH	O	_	$LEMMA$	_	0	IGNORE	true
4	a	_	a	DT	O	_	$LEMMA$	_	0	IGNORE	true
5	lot	_	lot	NN	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$	(mod())	8	MOD_mod	true
6	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
7	the	_	the	DT	O	_	person	_	0	IGNORE	true
8	crews,	_	crews,	NNS	O	(d<root> / --LEX--)	resemble-01	()	1	APP_op1	true
9	uh,	_	uh,	UH	O	_	mean-01	_	0	IGNORE	true
10	like	_	like	UH	O	_	resemble-01	_	0	IGNORE	true
11	Mitchell,	_name_	Mitchell,	NNP	O	_	_NAME_	_	0	IGNORE	true
12	who	_	who	WP	O	_	have-org-role-91	_	0	IGNORE	true
13	have	_	have	VBP	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-03	(s())	14	MOD_s	true
14	people	_	people	NNS	O	(d<root> / --LEX--)	person	()	30	APP_s	true
15	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
16	work	_	work	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>))	$LEMMA$-01	(s())	14	MOD_s	true
17	under	_	under	IN	O	_	$LEMMA$	_	0	IGNORE	true
18	him,	_	him,	NNS	O	_	be-located-at-91	_	0	IGNORE	true
19	around	_	around	IN	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	16	MOD_mod	true
20	town,	_	town,	NNP	O	_	and	_	0	IGNORE	true
21	in	_	in	IN	O	_	i	_	0	IGNORE	true
22	regular	_	regular	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	13	MOD_s	true
23	situations,	_	situations,	NNS	O	_	cause-01	_	0	IGNORE	true
24	come	_	come	VBP	O	(g<root> / --LEX--  :ARG4 (n<o>)  :ARG1 (t<s>))	$LEMMA$-01	(s(), o())	30	APP_op1	true
25	to	_	to	IN	O	_	cause-01	_	0	IGNORE	true
26	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
27	people	_	people	NNS	O	(d<root> / --LEX--)	person	()	24	APP_o	true
28	like	_	like	IN	O	(s<root> / --LEX--  :ARG1 (p<s>))	resemble-01	(s())	27	MOD_s	true
29	me,	_	me,	NN	O	_	_NAME_	_	0	IGNORE	true
30	and	_	and	CC	O	(a<root> / --LEX--  :op1 (c<op1>)  :op2 (l<op2>))	$LEMMA$	(op2(s()), op1(s()))	2	APP_s	true
31	ask	_	ask	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-02	(s(), o())	30	APP_op2	true
32	us	_	us	PRP	O	_	$LEMMA$	_	0	IGNORE	true
33	to	_	to	TO	O	_	thing	_	0	IGNORE	true
34	do	_	do	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-02	(s())	31	APP_o	true
35	payroll	_	payroll	VB	O	(d<root> / --LEX--)	$LEMMA$	()	34	APP_s	true
36	for	_	for	IN	O	_	thing	_	0	IGNORE	true
37	them	_	they	PRP	O	_	$LEMMA$	_	0	IGNORE	true
38	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[35@@d@@payroll, 24@@g@@come-01, 13@@s@@have-03, 30@@a@@and, 34@@s@@do-02, 19@@b@@around, 14@@d@@person, 1@@a@@and, 22@@s@@regular-02, 8@@d@@resemble-01, 16@@s@@work-01, 2@@s@@expressive, 31@@s@@ask-02, 28@@s@@resemble-01, 5@@explicitanon0@@lot, 27@@d@@person]
sentence=1	It's	it's	it's	PRP	O	_	thing	_	0	IGNORE	true
2	much	_	much	RB	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	3	MOD_mod	true
3	more	_	more	JJR	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	4	MOD_mod	true
4	fun	_	fun	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	0	ROOT	true
5	when	_	when	WRB	O	_	i	_	0	IGNORE	true
6	there	_	there	EX	O	_	cause-01	_	0	IGNORE	true
7	are	_	be	VBP	O	_	$LEMMA$-located-at-91	_	0	IGNORE	true
8	other	_	other	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	9	MOD_mod	true
9	people	_	people	NNS	O	(d<root> / --LEX--)	person	()	4	APP_s	true
10	that	_	that	WDT	O	_	capable-01	_	0	IGNORE	true
11	can	_	can	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	12	MOD_s	true
12	understand	_	understand	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	9	MOD_s	true
13	your	_	your	PRP$	O	(d<root> / --LEX--)	$LEMMA$	()	14	APP_poss	true
14	language	_	language	NN	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	12	APP_o	true
15	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[2@@s@@much, 4@@s@@fun-01, 14@@m@@language, 13@@d@@your, 12@@s@@understand-01, 3@@s@@more, 9@@d@@person, 8@@p@@other, 11@@s@@possible-01]
sentence=1	When	when	when	WRB	O	_	amr-unknown	_	0	IGNORE	true
2	you	_	you	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_s	true
3	study	_	study	VBP	O	(t<root> / --LEX--  :ARG1 (t2<o>)  :ARG0 (i<s>)  :time-of (f<mod>))	$LEMMA$-01	(mod(), s(), o())	9	MOD_mod	true
4	United_States	_name_	States	NNP	O	(c<root> / country  :name (n / --LEX--))	_NAME_	()	3	APP_o	true
5	history,	_	history,	NNS	O	_	and	_	0	IGNORE	true
6	for	_	for	IN	O	_	and	_	0	IGNORE	true
7	example,	_	example,	NNS	O	_	and	_	0	IGNORE	true
8	you	_	you	PRP	O	_	$LEMMA$	_	0	IGNORE	true
9	learn	_	learn	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
10	about	_	about	IN	O	_	thing	_	0	IGNORE	true
11	more	_	more	JJR	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	9	MOD_mod	true
12	than	_	than	IN	O	_	more-$LEMMA$	_	0	IGNORE	true
13	just	_	just	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
14	individual	_	individual	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
15	events	_	event	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_o	true
16	that	_	that	WDT	O	_	event	_	0	IGNORE	true
17	have	_	have	VBP	O	_	thing	_	0	IGNORE	true
18	happened	_	happen	VBN	O	_	event	_	0	IGNORE	true
19	in	_	in	IN	O	_	i	_	0	IGNORE	true
20	America’s	_name_	America’s	NNP	O	(n<root> / --LEX--  :time-of (p<mod>))	_NAME_	(mod())	21	MOD_mod	true
21	past	_	past	NN	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
22	.	_	.	.	O	_	$LEMMA$	_	0	IGNORE	true

nodealignment=[9@@s@@learn-01, 4@@c@@country, 15@@d@@event, 3@@t@@study-01, 4@@n@@_NAME_, 13@@p@@just, 20@@n@@_NAME_, 14@@p@@individual, 11@@p@@more, 21@@n@@past, 2@@d@@you]
sentence=1	I	i	I	PRP	O	(d<root> / --LEX--)	$REPL$	()	2	APP_s	true
2	talked	_	talk	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	instead	_	instead	RB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-of-91	(s())	2	MOD_s	true
4	about	_	about	IN	O	_	$LEMMA$	_	0	IGNORE	true
5	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
6	kind	_	kind	NN	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_o	true
7	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
8	America	_name_	America	NNP	O	(c<root> / country  :name (n / --LEX--)  :mod-of (p<mod>))	_NAME_	(mod())	6	MOD_mod	true
9	that	_	that	WDT	O	_	name	_	0	IGNORE	true
10	I	i	I	PRP	O	_	$REPL$	_	0	IGNORE	true
11	wanted	_	want	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	8	MOD_s	true
12	for	_	for	IN	O	_	member	_	0	IGNORE	true
13	my	_	my	PRP$	O	_	have-org-role-91	_	0	IGNORE	true
14	family	_	family	NN	O	(d<root> / --LEX--)	$LEMMA$	()	15	APP_op1	true
15	and	_	and	CC	O	(o<root> / --LEX--  :op1 (r<op1>)  :op2 (p2<op2>)  :beneficiary-of (p<mod>))	$LEMMA$	(op2(), op1(), mod())	11	MOD_mod	true
16	for	_	for	IN	O	_	member	_	0	IGNORE	true
17	your	_	your	PRP$	O	(d<root> / --LEX--)	$LEMMA$	()	18	APP_poss	true
18	family	_	family	NN	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	15	APP_op2	true
19	and	_	and	CC	O	(a<root> / --LEX--  :op2 (f<op2>))	$LEMMA$	(op2())	11	APP_o	true
20	all	_	all	PDT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	18	MOD_mod	true
21	those	_	those	DT	O	_	that	_	0	IGNORE	true
22	who	_	who	WP	O	_	amr-unknown	_	0	IGNORE	true
23	are	_	be	VBP	O	_	person	_	0	IGNORE	true
24	citizens	_	citizen	NNS	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	19	APP_op2	true
25	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
26	this	_	this	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	27	MOD_mod	true
27	country	_	country	NN	O	(d<root> / --LEX--)	$LEMMA$	()	24	APP_poss	true
28	in	_	in	IN	O	_	i	_	0	IGNORE	true
29	these	_	these	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	this	(mod())	30	MOD_mod	true
30	difficult	_	difficult	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	24	MOD_mod	true
31	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
32	changing	_	change	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	24	MOD_s	true
33	years,	_	years,	NNS	O	_	mean-01	_	0	IGNORE	true
34	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
35	kind	_	kind	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	37	MOD_mod	true
36	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
37	America	_name_	America	NNP	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	2	MOD_mod	true
38	in	_	in	IN	O	_	i	_	0	IGNORE	true
39	which	_	which	WDT	O	_	name	_	0	IGNORE	true
40	I	i	I	PRP	O	_	$REPL$	_	0	IGNORE	true
41	believed,	_	believed,	VBZ	O	_	person	_	0	IGNORE	true
42	not	_	not	RB	O	(explicitanon0<root> / --LEX--  :polarity-of (e<mod>))	-	(mod())	52	MOD_mod	true
43	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
44	a	_	a	DT	O	_	person	_	0	IGNORE	true
45	Democrat	_name_	Democrat	NNP	O	(d<root> / --LEX--)	$LEMMA$	()	46	APP_op1	true
46	or	_	or	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	50	APP_o	true
47	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
48	a	_	a	DT	O	_	thing	_	0	IGNORE	true
49	candidate,	_	candidate,	NNP	O	_	and	_	0	IGNORE	true
50	but	_	but	CC	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	contrast-01	(s(), o())	2	MOD_s	true
51	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
52	a	_	a	DT	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	contrast-01	(s(), o())	2	MOD_o	true
53	citizen	_	citizen	NN	O	(d<root> / --LEX--)	$LEMMA$	()	46	APP_op2	true
54	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[50@@s@@contrast-01, 52@@s@@contrast-01, 2@@s@@talk-01, 1@@d@@i, 3@@s@@instead-of-91, 46@@a@@or, 17@@d@@your, 27@@d@@country, 14@@d@@family, 45@@d@@Democrat, 29@@p@@this, 53@@d@@citizen, 18@@m@@family, 26@@p@@this, 30@@p@@difficult, 32@@s@@change-01, 20@@p@@all, 11@@s@@want-01, 24@@m@@citizen, 8@@n@@_NAME_, 15@@o@@and, 35@@p@@kind, 42@@explicitanon0@@-, 37@@b@@America, 8@@c@@country, 6@@d@@kind, 19@@a@@and]
sentence=1	As	as	as	IN	O	_	cause-01	_	0	IGNORE	true
2	the_National_Organization_of_Black_Law_Enforcement_Executives	_name_	Executives	NNPS	O	(n<root> / --LEX--  :name-of (s<mod>))	_NAME_	(mod())	10	MOD_mod	true
3	writes,	_	writes,	NNP	O	_	and	_	0	IGNORE	true
4	‘The	‘the	‘The	NNP	O	_	_NAME_	_	0	IGNORE	true
5	passage	_	passage	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	pass-01	(s())	10	APP_dom	true
6	of	_	of	IN	O	_	$LEMMA$	_	0	IGNORE	true
7	this	_	this	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	8	MOD_mod	true
8	act	_	act	NN	O	(d<root> / --LEX--)	$LEMMA$	()	5	APP_s	true
9	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
10	paramount	_	paramount	JJ	O	(r<root> / --LEX--  :domain (q<dom>))	$LEMMA$	(dom())	0	ROOT	true
11	in	_	in	IN	O	_	thing	_	0	IGNORE	true
12	achieving	_	achieve	VBG	O	(r<root> / --LEX--  :ARG1 (w<s>)  :topic-of (a<mod>))	$LEMMA$-01	(mod(), s())	10	MOD_mod	true
13	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
14	fundamental	_	fundamental	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
15	principle	_	principle	NN	O	(d<root> / --LEX--)	$LEMMA$	()	12	APP_s	true
16	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
17	a	_	a	DT	O	_	1	_	0	IGNORE	true
18	police	_	police	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	19	MOD_mod	true
19	force	_	force	NN	O	(a<root> / --LEX--  :topic-of (w<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
20	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
21	protects	_	protect	VBZ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	19	MOD_s	true
22	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	19	MOD_op1	true
23	serves	_	serve	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>))	$LEMMA$-01	(s())	19	MOD_s	true
24	every	_	every	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	25	MOD_mod	true
25	citizen	_	citizen	NN	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	22	APP_op2	true
26	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
27	their	_	they	PRP$	O	_	person	_	0	IGNORE	true
28	community	_	community	NN	O	(d<root> / --LEX--)	$LEMMA$	()	25	APP_poss	true
29	with	_	with	IN	O	_	-	_	0	IGNORE	true
30	fairness,	_	fairness,	NNS	O	_	$LEMMA$	_	0	IGNORE	true
31	accountability	_	accountability	NN	O	(d<root> / --LEX--)	accountable-02	()	32	APP_op1	true
32	and	_	and	CC	O	(a<root> / --LEX--  :op2 (r<op2>)  :op1 (i<op1>)  :manner-of (s<mod>))	$LEMMA$	(op2(), op1(), mod())	22	MOD_mod	true
33	transparency	_	transparency	NN	O	(d<root> / --LEX--)	$LEMMA$	()	32	APP_op2	true
34	in	_	in	IN	O	_	i	_	0	IGNORE	true
35	their	_	they	PRP$	O	_	cause-01	_	0	IGNORE	true
36	actions.	_	actions.	NN	O	_	$LEMMA$	_	0	IGNORE	true
37	’	_	'	.	O	_	expressive	_	0	IGNORE	true

nodealignment=[21@@s@@protect-01, 19@@a@@force, 14@@p@@fundamental, 8@@d@@act, 31@@d@@accountable-02, 25@@m@@citizen, 24@@p@@every, 12@@r@@achieve-01, 22@@a@@and, 23@@s@@serve-01, 15@@d@@principle, 2@@n@@_NAME_, 32@@a@@and, 7@@p@@this, 33@@d@@transparency, 10@@r@@paramount, 18@@p@@police, 5@@s@@pass-01, 28@@d@@community]
sentence=1	Einstein	_name_	Einstein	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	2	APP_s	true
2	preferred	_	prefer	VBD	O	(c<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (m<o>))	$LEMMA$-01	(o(s()))	0	ROOT	true
3	to	_	to	TO	O	_	and	_	0	IGNORE	true
4	think	_	think	VB	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	2	APP_o	true
5	that	_	that	IN	O	_	resemble-01	_	0	IGNORE	true
6	it	_	it	PRP	O	_	$LEMMA$	_	0	IGNORE	true
7	is	_	be	VBZ	O	_	monetary-quantity	_	0	IGNORE	true
8	space	_	space	NN	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_op1	true
9	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	13	APP_o	true
10	time	_	time	NN	O	(d<root> / --LEX--)	$LEMMA$	()	9	APP_op2	true
11	that	_	that	WDT	O	_	say-01	_	0	IGNORE	true
12	are	_	be	VBP	O	_	thing	_	0	IGNORE	true
13	affected	_	affect	VBN	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	4	APP_o	true
14	by	_	by	IN	O	_	thing	_	0	IGNORE	true
15	the	_	the	DT	O	_	thing	_	0	IGNORE	true
16	presence	_	presence	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	present-02	(s())	23	APP_op1	true
17	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
18	a	_	a	DT	O	_	1	_	0	IGNORE	true
19	large	_	large	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	21	MOD_mod	true
20	mass;	_	mass;	NNP	O	_	$LEMMA$	_	0	IGNORE	true
21	light	_	light	NN	O	(d<root> / --LEX--)	$LEMMA$	()	16	APP_s	true
22	beams,	_	beams,	NNP	O	_	mean-01	_	0	IGNORE	true
23	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	13	APP_s	true
24	everything	_	everything	NN	O	(d<root> / --LEX--)	$LEMMA$	()	33	APP_s	true
25	else	_	else	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	24	MOD_mod	true
26	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
27	travels	_	travel	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	24	MOD_s	true
28	through	_	through	IN	O	_	$LEMMA$	_	0	IGNORE	true
29	space	_	space	NN	O	(d<root> / --LEX--)	$LEMMA$	()	27	APP_o	true
30	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
31	time,	_	time,	NNP	O	_	and	_	0	IGNORE	true
32	then	_	then	RB	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	33	MOD_mod	true
33	find	_	find	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	23	APP_op2	true
34	their	_	they	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
35	paths	_	path	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	36	APP_s	true
36	affected	_	affect	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	33	APP_o	true
37	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[4@@s@@think-01, 24@@d@@everything, 32@@n@@then, 23@@a@@and, 29@@d@@space, 19@@p@@large, 25@@p@@else, 1@@p@@person, 13@@s@@affect-01, 36@@s@@affect-01, 10@@d@@time, 8@@d@@space, 16@@s@@present-02, 33@@s@@find-01, 2@@c@@prefer-01, 27@@s@@travel-01, 35@@d@@path, 21@@d@@light, 1@@n@@_NAME_, 9@@a@@and]
sentence=1	During	during	during	IN	O	_	i	_	0	IGNORE	true
2	one	_	one	CD	O	_	$LEMMA$	_	0	IGNORE	true
3	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
4	these	_	these	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	this	(mod())	5	MOD_mod	true
5	illnesses	_	illness	NNS	O	(n<root> / --LEX--  :time-of (p<mod>))	ill-01	(mod())	14	MOD_mod	true
6	(about	_	(about	NFP	O	_	$LEMMA$	_	0	IGNORE	true
7	the	_	the	DT	O	_	person	_	0	IGNORE	true
8	winter	_name_	winter	NN	O	(s<root> / --LEX--  :season-of (d<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
9	of	_	of	IN	O	_	date-interval	_	0	IGNORE	true
